,seed,regression,xgboost,cnn
0,1,"[[np.float64(1.2109437026296246), np.float64(1.266037705746958), np.float64(1.1994074901266845), np.float64(1.2316676078344568), np.float64(1.1230485587869166)], [np.float64(3.199869635024022), np.float64(3.761879851755188), np.float64(2.985284947175035), np.float64(2.4879460386556205), np.float64(3.0110421365843907)], [np.float64(5.2672664587209725), np.float64(4.986312041706128), np.float64(5.457963703228685), np.float64(5.304294967388777), np.float64(5.376644309008144)], [np.float64(40.8822052656036), np.float64(42.07778125759102), np.float64(42.906201207161715), np.float64(36.35019265459047), np.float64(39.02697256599074)], [np.float64(24.416524723143105), np.float64(27.773817164506557), np.float64(22.674847700706795), np.float64(21.036350012753317), np.float64(23.593561293807237)]]","[[np.float64(1.1493296167504021), np.float64(1.1645464091535347), np.float64(1.15948673856862), np.float64(1.1607805209000794), np.float64(1.1017691683655166)], [np.float64(3.003983311961772), np.float64(3.493012735320475), np.float64(2.914472426932985), np.float64(2.486224006619397), np.float64(2.6373062882929497)], [np.float64(4.5333653248902746), np.float64(4.406526656160474), np.float64(4.625538255363318), np.float64(4.596691760896667), np.float64(4.544127204220118)], [np.float64(36.2001925913267), np.float64(37.45847542272711), np.float64(37.839600150914244), np.float64(34.82712820800389), np.float64(32.58118263370994)], [np.float64(18.300762675797905), np.float64(18.343099646590815), np.float64(18.479847022570553), np.float64(18.06407099374954), np.float64(18.141640124173417)]]","[[np.float64(1.1915255661108417), np.float64(1.1756575702568173), np.float64(1.1849695974526822), np.float64(1.2313792944476636), np.float64(1.1961981678210174)], [np.float64(2.807578379051677), np.float64(3.270328284251479), np.float64(2.7998267556098546), np.float64(2.0727615114331037), np.float64(2.4896533438152697)], [np.float64(4.347650218404429), np.float64(4.248425597200916), np.float64(4.52401696006175), np.float64(4.194019347719266), np.float64(4.344437435457019)], [np.float64(35.433713247138655), np.float64(36.29272422103225), np.float64(37.892042906740684), np.float64(30.35092460630055), np.float64(33.73737352325759)], [np.float64(18.0065962038461), np.float64(17.511648812662447), np.float64(19.044309035841128), np.float64(16.794005466630207), np.float64(18.041404053320758)]]"
1,2,"[[np.float64(1.2939844549762012), np.float64(1.4218498903901762), np.float64(1.2215495733787889), np.float64(1.3110462954266846), np.float64(1.1289574624139438)], [np.float64(3.124438339060771), np.float64(3.5798878763370388), np.float64(3.0408781324385368), np.float64(2.6574170403608495), np.float64(2.794045154443938)], [np.float64(5.3311160030708145), np.float64(5.413546128588011), np.float64(5.125087587491733), np.float64(6.03459433287023), np.float64(4.6322898071309755)], [np.float64(43.14210909047462), np.float64(48.66482408650362), np.float64(41.806819387790355), np.float64(44.49194300066032), np.float64(30.65176889672745)], [np.float64(26.071082652333025), np.float64(28.827646382995752), np.float64(25.79772574470267), np.float64(26.64284029760064), np.float64(19.359810797705016)]]","[[np.float64(1.2044919450445555), np.float64(1.3058075955050095), np.float64(1.2116213400252862), np.float64(1.1672367768335126), np.float64(1.011318742205972)], [np.float64(2.910113383906697), np.float64(3.3897567177320793), np.float64(2.8623801869336174), np.float64(2.252691682953105), np.float64(2.633211783228028)], [np.float64(4.620412113665617), np.float64(4.822501306531207), np.float64(4.5367799996590845), np.float64(5.134944440825515), np.float64(3.6422939725373285)], [np.float64(39.01076810459828), np.float64(44.49968665657028), np.float64(38.173926684128425), np.float64(38.89136063109521), np.float64(27.43244312701413)], [np.float64(21.34551101702408), np.float64(23.775858175651617), np.float64(21.365418208206087), np.float64(21.237905385984888), np.float64(15.643005150731785)]]","[[np.float64(1.2910803447880828), np.float64(1.4402515469984891), np.float64(1.2588159688035112), np.float64(1.1699201768745524), np.float64(1.165981219241876)], [np.float64(2.9031974231033995), np.float64(3.3498320252842726), np.float64(2.8308869409463977), np.float64(2.3931391539809113), np.float64(2.60810951995392)], [np.float64(4.447282421276829), np.float64(4.732217644410575), np.float64(4.413798353122509), np.float64(4.512886866930381), np.float64(3.8112723104797053)], [np.float64(38.045939302750064), np.float64(44.28439812168066), np.float64(36.97058540775673), np.float64(36.346343227872374), np.float64(27.076431474081016)], [np.float64(20.294561536895248), np.float64(22.841930477480407), np.float64(20.76093536396949), np.float64(18.517780769181297), np.float64(15.520423417449273)]]"
2,3,"[[np.float64(1.2279641124035074), np.float64(1.3470238980665685), np.float64(1.234299727323009), np.float64(1.1408526019928773), np.float64(1.0612929912906326)], [np.float64(3.116420165881874), np.float64(3.739116272539522), np.float64(3.0585671940473884), np.float64(2.5997096117810803), np.float64(2.309270248267131)], [np.float64(5.323676926629639), np.float64(5.2599272971252935), np.float64(5.713494493650282), np.float64(5.308042350856657), np.float64(4.831564344556147)], [np.float64(40.72709570868465), np.float64(42.5761336836838), np.float64(44.96940049534084), np.float64(38.66262072369505), np.float64(31.5822451607057)], [np.float64(24.655405718458983), np.float64(25.988142102328638), np.float64(27.273709886376114), np.float64(22.148580938908697), np.float64(19.94412480314785)]]","[[np.float64(1.1558481356604522), np.float64(1.3469970470727952), np.float64(1.1327677157709974), np.float64(1.021683005246556), np.float64(0.9087618156353444)], [np.float64(2.8441463592951486), np.float64(3.51051447160036), np.float64(2.740344004158672), np.float64(2.332708760264123), np.float64(1.9497759781989463)], [np.float64(4.470755861914108), np.float64(4.5589971596829315), np.float64(4.69504923041066), np.float64(4.25927941746687), np.float64(4.158365510069054)], [np.float64(36.43430108478413), np.float64(40.70345003936758), np.float64(37.39846938009261), np.float64(33.82264606164406), np.float64(28.266322115665975)], [np.float64(20.345266537161304), np.float64(22.76255881340545), np.float64(21.2295841088476), np.float64(17.76858055619979), np.float64(16.283748135219625)]]","[[np.float64(1.1922974079371667), np.float64(1.3476806650104969), np.float64(1.193133642681721), np.float64(1.0720781581504917), np.float64(0.9817210588131421)], [np.float64(2.776143530837964), np.float64(3.306066138306269), np.float64(2.5532209881202004), np.float64(2.4558439830057806), np.float64(2.284534105524354)], [np.float64(4.5446117727644095), np.float64(4.638329686151018), np.float64(4.592670715708149), np.float64(4.479047418910171), np.float64(4.359667594640535)], [np.float64(37.31760602639768), np.float64(40.48641502316597), np.float64(37.67106133912243), np.float64(36.73940661176928), np.float64(30.71571934757269)], [np.float64(19.71772171206969), np.float64(21.06431346746442), np.float64(20.29718673810777), np.float64(18.939959000271326), np.float64(16.831675102131232)]]"
3,4,"[[np.float64(1.2124934611977947), np.float64(1.141016759189255), np.float64(1.3008357813449751), np.float64(1.1802649893879777), np.float64(1.1984020001333644)], [np.float64(2.8845097483645836), np.float64(3.277235868322686), np.float64(2.845209566975672), np.float64(2.692629860986583), np.float64(2.5139058482814467)], [np.float64(5.298863069622858), np.float64(5.486073686181715), np.float64(5.296693472504308), np.float64(5.616762550251979), np.float64(4.770867336746868)], [np.float64(39.79374200810698), np.float64(42.92580481191658), np.float64(41.864814412814425), np.float64(42.68385274858849), np.float64(28.637088274469612)], [np.float64(24.044655885431677), np.float64(27.08237855879209), np.float64(24.53664002853267), np.float64(25.01475672236708), np.float64(17.45129512430382)]]","[[np.float64(1.1712297098420903), np.float64(1.1495970494361496), np.float64(1.230330650864333), np.float64(1.097630461636995), np.float64(1.169354564079991)], [np.float64(2.7248411251436107), np.float64(3.240526355858795), np.float64(2.5961323540052414), np.float64(2.500040294235478), np.float64(2.3020006458730617)], [np.float64(4.4717099443014865), np.float64(4.851159195159216), np.float64(4.381151247698618), np.float64(4.522834162799831), np.float64(4.019322666462783)], [np.float64(36.534944972732895), np.float64(40.339279834260736), np.float64(39.26730654232883), np.float64(34.932090912237136), np.float64(27.39195482079766)], [np.float64(19.721954284581408), np.float64(23.73302314472189), np.float64(19.520943810462448), np.float64(17.171403710417806), np.float64(15.696977281532659)]]","[[np.float64(1.2169703575548425), np.float64(1.10574071756033), np.float64(1.3327903021369734), np.float64(1.1535140366223995), np.float64(1.2322468130058066)], [np.float64(2.7653395281732602), np.float64(3.119412941537367), np.float64(2.7824260669513032), np.float64(2.707246317745553), np.float64(2.2459252421234477)], [np.float64(4.426112869934793), np.float64(4.771266957879808), np.float64(4.3320892301689815), np.float64(4.765176831927732), np.float64(3.7648993123622385)], [np.float64(36.337272791139185), np.float64(39.99583858416437), np.float64(39.04804788450716), np.float64(34.357394487036444), np.float64(27.873152498797758)], [np.float64(19.52559162404657), np.float64(23.701730357940548), np.float64(19.16142957259772), np.float64(17.734562905152252), np.float64(14.76203310781376)]]"
4,5,"[[np.float64(1.364544173354748), np.float64(1.36822792944207), np.float64(1.367870046042252), np.float64(1.3758235498438232), np.float64(1.346114392435536)], [np.float64(3.2310251498081257), np.float64(3.459701482674869), np.float64(3.3216023770943743), np.float64(2.7446987082939613), np.float64(3.132250284711414)], [np.float64(5.269161781935174), np.float64(5.725351251158164), np.float64(5.392244919777815), np.float64(4.808192591768836), np.float64(4.7767903429052065)], [np.float64(39.432579366743475), np.float64(47.51184716749659), np.float64(40.73966101786086), np.float64(32.36763801127707), np.float64(29.350731504441047)], [np.float64(23.79575720702198), np.float64(28.492820895872132), np.float64(23.13140905962685), np.float64(21.399973978734785), np.float64(19.100166690405782)]]","[[np.float64(1.3005779607058376), np.float64(1.3265433682009016), np.float64(1.334866827410823), np.float64(1.2621602096620097), np.float64(1.245213885529457)], [np.float64(3.031001434867193), np.float64(3.2564768291432347), np.float64(3.14374292876952), np.float64(2.5499357149963493), np.float64(2.8974145870323076)], [np.float64(4.539013064272242), np.float64(4.80068344209669), np.float64(4.690633813898965), np.float64(4.262937819740419), np.float64(4.154942754664217)], [np.float64(35.8796064636037), np.float64(42.135489425664304), np.float64(37.27857643524962), np.float64(31.698733169318864), np.float64(26.655017986150018)], [np.float64(19.07850712562744), np.float64(21.696585823886835), np.float64(20.553355009984394), np.float64(16.512531250220494), np.float64(14.505953242041981)]]","[[np.float64(1.3083624508130127), np.float64(1.3020079069190398), np.float64(1.3652734689776218), np.float64(1.2885752617888533), np.float64(1.2497784346051832)], [np.float64(2.942693835198159), np.float64(3.3695428728247814), np.float64(2.9773418857755654), np.float64(2.292721145624751), np.float64(2.7199155923738805)], [np.float64(4.367559321646803), np.float64(4.563919961789104), np.float64(4.655788835906999), np.float64(3.8182564966664376), np.float64(4.072155670165164)], [np.float64(35.58680783011985), np.float64(39.7270055868234), np.float64(38.740334156818136), np.float64(30.65701011390602), np.float64(27.84696336733153)], [np.float64(18.435858555530995), np.float64(19.968728335671333), np.float64(20.963556279641473), np.float64(15.416261760824401), np.float64(14.195158474804236)]]"
5,6,"[[np.float64(1.2301962489123661), np.float64(1.2783122976113928), np.float64(1.1843943944215565), np.float64(1.1548514197033302), np.float64(1.2966462248933643)], [np.float64(3.1271507813602817), np.float64(3.5607456290803756), np.float64(3.475541512111426), np.float64(2.4942606519743356), np.float64(2.3663844687030937)], [np.float64(5.234066458988448), np.float64(4.982305126988506), np.float64(5.253261231177045), np.float64(6.073422204876796), np.float64(4.705905273726559)], [np.float64(39.25637345306437), np.float64(44.664627870385615), np.float64(41.198237404396174), np.float64(41.1799101930403), np.float64(23.97210638417199)], [np.float64(22.916484542130306), np.float64(25.412524200027853), np.float64(24.296367362057545), np.float64(22.092954700476174), np.float64(17.34222197910108)]]","[[np.float64(1.1577585550216853), np.float64(1.2428652786331367), np.float64(1.1003212266408564), np.float64(1.149057372906305), np.float64(1.1351068967402684)], [np.float64(2.918502341831143), np.float64(3.5002573633020484), np.float64(3.1089319033854714), np.float64(2.30142239523391), np.float64(2.1699054274014458)], [np.float64(4.518754051221029), np.float64(4.702939109487318), np.float64(4.688393920006042), np.float64(4.889299827712056), np.float64(3.5736274165236126)], [np.float64(36.110425826883954), np.float64(40.20014823801474), np.float64(38.5264719537807), np.float64(38.68805611876312), np.float64(21.279781626223325)], [np.float64(19.06549763557742), np.float64(21.21155949226179), np.float64(20.95971357627993), np.float64(18.3851573422691), np.float64(12.54520964811477)]]","[[np.float64(1.2668671406361276), np.float64(1.3390862614827124), np.float64(1.1956939612498911), np.float64(1.3535420139661212), np.float64(1.1946389603770324)], [np.float64(2.8920457973208236), np.float64(3.1147936312021924), np.float64(3.2034077784498263), np.float64(2.597296446489194), np.float64(2.2674109059260834)], [np.float64(4.246744127876831), np.float64(4.335913225797646), np.float64(4.484810023435156), np.float64(4.483440526453622), np.float64(3.4729445378886186)], [np.float64(37.740601510857786), np.float64(42.04273559729479), np.float64(41.01965637743449), np.float64(39.156372306537044), np.float64(22.07451824743992)], [np.float64(19.10615327695195), np.float64(20.789292289390502), np.float64(21.617548838091263), np.float64(18.047723277093482), np.float64(12.488698139283462)]]"
6,7,"[[np.float64(1.2335035975367306), np.float64(1.303688236540755), np.float64(1.201234565372718), np.float64(1.2063598463712983), np.float64(1.1872451188892656)], [np.float64(3.0570625624128924), np.float64(3.0109867036767684), np.float64(3.2509243027520163), np.float64(2.8421785159049873), np.float64(3.077297970723836)], [np.float64(5.154027824500098), np.float64(5.422603630450028), np.float64(5.2677113085423635), np.float64(4.881051624987324), np.float64(4.795033934359212)], [np.float64(39.93991840866471), np.float64(47.07580847976299), np.float64(40.568430155852184), np.float64(36.07107668914596), np.float64(27.734683449928617)], [np.float64(24.06552031596595), np.float64(27.857937568968257), np.float64(23.894784380103484), np.float64(22.113994234131685), np.float64(18.752743492584766)]]","[[np.float64(1.1684917059772646), np.float64(1.263384410461032), np.float64(1.1591418550060684), np.float64(1.0340243664211), np.float64(1.1629048661578767)], [np.float64(2.752592298000197), np.float64(2.8032013726663783), np.float64(2.999961313337968), np.float64(2.3104482938921977), np.float64(2.7528516049841514)], [np.float64(4.383362487991031), np.float64(4.940122046765422), np.float64(4.434783833010423), np.float64(4.01711587357066), np.float64(3.6084443652946523)], [np.float64(36.307110935042004), np.float64(42.945829885804386), np.float64(37.115813898385795), np.float64(32.96616659486557), np.float64(23.88338081695186)], [np.float64(20.04479095454301), np.float64(24.715138344213692), np.float64(19.547882080430814), np.float64(17.274019266673285), np.float64(13.680866375926485)]]","[[np.float64(1.283912411897586), np.float64(1.312722428471632), np.float64(1.3712760023877022), np.float64(1.1405734922531707), np.float64(1.2552247607284428)], [np.float64(2.930806591961277), np.float64(2.7363857568710124), np.float64(3.556305827160808), np.float64(2.4480867966796036), np.float64(2.7078591834998487)], [np.float64(4.194798837415121), np.float64(4.483420352574282), np.float64(4.261052712328726), np.float64(4.048602275857259), np.float64(3.70468624988266)], [np.float64(35.913242434925934), np.float64(42.7190524677604), np.float64(36.80396091955906), np.float64(32.31024912082828), np.float64(23.130681227772207)], [np.float64(19.44353514390862), np.float64(23.523124802914207), np.float64(20.010534870222273), np.float64(16.21336754367874), np.float64(13.101380171641999)]]"
7,8,"[[np.float64(1.2533135388058232), np.float64(1.3951797416179168), np.float64(1.2663410861587125), np.float64(1.1370990376642125), np.float64(1.1376505322162629)], [np.float64(3.079464609099834), np.float64(3.5088455440424013), np.float64(3.1178924780734145), np.float64(2.4504885758325794), np.float64(2.8953948359623864)], [np.float64(5.188562796147428), np.float64(5.603964595291489), np.float64(4.890882148589389), np.float64(5.275779860990601), np.float64(5.0071967790001)], [np.float64(36.56612796145043), np.float64(41.559125972857125), np.float64(34.714130570432985), np.float64(38.8412341711821), np.float64(30.723177919808293)], [np.float64(21.78325617458714), np.float64(25.901909318946085), np.float64(21.01161034930505), np.float64(22.092915797530637), np.float64(16.85331806303684)]]","[[np.float64(1.158619464610355), np.float64(1.319596943937609), np.float64(1.1720339507395334), np.float64(0.9998373644906419), np.float64(1.0425324893536057)], [np.float64(2.854180126762386), np.float64(3.3090893938100923), np.float64(2.931858472179466), np.float64(2.1152372188448587), np.float64(2.6336837155238966)], [np.float64(4.260160810529619), np.float64(4.504777237704863), np.float64(4.237495873849982), np.float64(4.2306587101446915), np.float64(4.016277134163823)], [np.float64(34.37654611828341), np.float64(38.50265481803874), np.float64(34.05339379120875), np.float64(37.57358125763011), np.float64(26.583240774504777)], [np.float64(18.243121233525898), np.float64(22.201798109323054), np.float64(17.878891184582834), np.float64(17.811110793646677), np.float64(13.35270520625766)]]","[[np.float64(1.245372719637385), np.float64(1.3257532519282367), np.float64(1.2983301327105359), np.float64(1.1738822223336556), np.float64(1.123075461090369)], [np.float64(2.8382874315043223), np.float64(3.2855829205201883), np.float64(2.9267535185924785), np.float64(2.279137172631622), np.float64(2.5046324876976445)], [np.float64(4.122052896403188), np.float64(4.408717240065246), np.float64(4.200978787377622), np.float64(3.837667559333069), np.float64(3.8644602656938654)], [np.float64(34.13358458983728), np.float64(38.470579226305674), np.float64(34.52999733927588), np.float64(34.41247486048829), np.float64(27.52030854935565)], [np.float64(17.66180924083564), np.float64(21.39790498214123), np.float64(18.11713943960608), np.float64(15.918936466401957), np.float64(12.859572505193391)]]"
8,9,"[[np.float64(1.2526875653787402), np.float64(1.3854542857406877), np.float64(1.1863626907272338), np.float64(1.2346654188127404), np.float64(1.156634825707988)], [np.float64(3.1825677160660084), np.float64(3.4911974870295137), np.float64(3.263149737033769), np.float64(2.874686729684254), np.float64(2.872103061931744)], [np.float64(5.271844872759782), np.float64(5.522775598945346), np.float64(4.989774507323328), np.float64(5.956018189494734), np.float64(4.633758778421496)], [np.float64(37.76670658623521), np.float64(41.77153728677946), np.float64(37.2430058021413), np.float64(41.909730587342565), np.float64(27.889798886460376)], [np.float64(23.262357970308152), np.float64(26.010230559223835), np.float64(22.63327252916473), np.float64(25.302873469290617), np.float64(17.731647234890424)]]","[[np.float64(1.1947623450299485), np.float64(1.340946589642997), np.float64(1.150544805705103), np.float64(1.1230207075023926), np.float64(1.0935605025292048)], [np.float64(2.9981316137784173), np.float64(3.4238265165109225), np.float64(3.019404704092544), np.float64(2.5972272834816996), np.float64(2.646229211829968)], [np.float64(4.422687610045049), np.float64(5.0632664976693), np.float64(3.8141426884762035), np.float64(4.980214863724577), np.float64(3.6550952631428024)], [np.float64(35.22484300681312), np.float64(41.01425618103002), np.float64(34.423485101524), np.float64(36.84856815256419), np.float64(24.955155973438277)], [np.float64(19.78476760016564), np.float64(23.069369834190816), np.float64(18.278209562785975), np.float64(22.180131616816247), np.float64(13.848956177903473)]]","[[np.float64(1.3118859247836616), np.float64(1.54447239950645), np.float64(1.2290349625877421), np.float64(1.2677125835847558), np.float64(1.0889910653246793)], [np.float64(2.971645122531944), np.float64(3.4184267392915344), np.float64(2.8401034732971904), np.float64(2.8923177297137532), np.float64(2.5172192528008193)], [np.float64(4.510647465318145), np.float64(5.25613853026675), np.float64(3.9667141035779356), np.float64(4.8567346518549135), np.float64(3.697293732166795)], [np.float64(37.30734174542989), np.float64(46.61420665033464), np.float64(32.880157921009015), np.float64(37.46512614364371), np.float64(26.870097997168322)], [np.float64(20.795394604308985), np.float64(26.904514601541695), np.float64(17.845433803401733), np.float64(20.51488704375138), np.float64(13.900160107216971)]]"
9,10,"[[np.float64(1.2439277431303915), np.float64(1.2357433475996913), np.float64(1.35103275665949), np.float64(1.2374013350577706), np.float64(1.071838118170663)], [np.float64(3.2557045563849627), np.float64(3.7021874665025116), np.float64(3.2836921665102583), np.float64(3.245578230738403), np.float64(2.4455657654430993)], [np.float64(4.961136983409832), np.float64(5.405434593437722), np.float64(4.340441152690022), np.float64(5.5489841158005735), np.float64(4.573440227973816)], [np.float64(36.00418728802813), np.float64(44.10262205261533), np.float64(31.80923282821354), np.float64(36.9714917752405), np.float64(27.565643748506204)], [np.float64(22.864625405711895), np.float64(27.45428186695397), np.float64(19.558148711167693), np.float64(24.00304805310876), np.float64(19.1015390070381)]]","[[np.float64(1.16461671945703), np.float64(1.171175342506304), np.float64(1.2784903448454423), np.float64(1.0646939099112822), np.float64(1.0588290792758608)], [np.float64(2.961476035185777), np.float64(3.4236818438463668), np.float64(2.9776545984452083), np.float64(2.8006735610775673), np.float64(2.3242964156448838)], [np.float64(4.253593948588651), np.float64(4.637384181966527), np.float64(4.014507080719198), np.float64(4.287273127697256), np.float64(4.015697127221986)], [np.float64(32.95779042087295), np.float64(38.56357908536519), np.float64(33.49291934348906), np.float64(30.60748276275125), np.float64(24.8414253814259)], [np.float64(17.946323628070026), np.float64(20.18486974524341), np.float64(17.29356602664745), np.float64(18.04228271855801), np.float64(15.313022570970535)]]","[[np.float64(1.3691359200489523), np.float64(1.1567747609287689), np.float64(1.2942164668519078), np.float64(1.1238886735806763), np.float64(1.8936469623850858)], [np.float64(2.9475192334312967), np.float64(3.179281526620454), np.float64(2.7524497940755435), np.float64(2.9176197993219777), np.float64(2.9389174459951186)], [np.float64(4.281503398379593), np.float64(4.254362710104262), np.float64(3.8600877380894705), np.float64(4.4116221359874945), np.float64(4.792462650877503)], [np.float64(35.846263154344754), np.float64(35.343693457438945), np.float64(32.973290776991604), np.float64(33.64930506361469), np.float64(42.5405263512324)], [np.float64(20.198544692616544), np.float64(19.907593249260223), np.float64(16.724914818314), np.float64(18.167475083210412), np.float64(26.64890421843647)]]"
10,11,"[[np.float64(1.2876991902115882), np.float64(1.2451533677457771), np.float64(1.3064630712131218), np.float64(1.3163095814024255), np.float64(1.292074670595391)], [np.float64(3.1360397810825646), np.float64(3.519320964692812), np.float64(3.1249400619526955), np.float64(2.9889672641525618), np.float64(2.7120028427437304)], [np.float64(5.21674469984403), np.float64(5.507049062178486), np.float64(4.8814460390278365), np.float64(5.32395789202497), np.float64(5.111556571006149)], [np.float64(38.90800534234839), np.float64(49.02537096536344), np.float64(34.46976542969361), np.float64(37.652535524986064), np.float64(28.492160454082946)], [np.float64(23.10991585792688), np.float64(28.047144775311505), np.float64(22.91317068511195), np.float64(21.080360258936633), np.float64(17.08065849525105)]]","[[np.float64(1.2282908091123452), np.float64(1.2015813940361566), np.float64(1.3084520078064783), np.float64(1.2847628885938063), np.float64(1.0959100534339248)], [np.float64(2.855371006295375), np.float64(3.4499301457538447), np.float64(2.8126570812316154), np.float64(2.5347542132978678), np.float64(2.254833372698761)], [np.float64(4.410600403607827), np.float64(4.802064302982467), np.float64(4.091982282637102), np.float64(4.747614403153214), np.float64(3.8618556966216655)], [np.float64(34.92175483935672), np.float64(42.0059601739647), np.float64(34.284900226931214), np.float64(34.900131172614195), np.float64(23.18664737077282)], [np.float64(19.074201327398615), np.float64(22.83966800554802), np.float64(20.324385027684784), np.float64(17.554697853312828), np.float64(11.96162882171779)]]","[[np.float64(1.3082201051702356), np.float64(1.3671994453251604), np.float64(1.3182033909871544), np.float64(1.2838634045699522), np.float64(1.2357397355257855)], [np.float64(2.79029948489095), np.float64(3.233871644751964), np.float64(2.8460067177284296), np.float64(2.3552487749838247), np.float64(2.446016212351423)], [np.float64(4.289904968374504), np.float64(4.514324363848698), np.float64(4.25624647924199), np.float64(4.45902814852023), np.float64(3.8239872279566653)], [np.float64(35.60051994696974), np.float64(42.982905426422235), np.float64(35.71403321973629), np.float64(32.75709747540914), np.float64(25.749569628092672)], [np.float64(18.452654552317686), np.float64(21.676133814179114), np.float64(20.102216932313627), np.float64(16.18275608464158), np.float64(12.768992133724751)]]"
